Folder,New name,Original name,Duplicates removed,Duplicate file names
MR,MRV.txt,MRV.txt,1,MRV_2.txt
NM,NM BONE SCAN.txt,BONE SCAN.txt,4,BONE SCAN_2.txt; BONE SCAN_3.txt; BONE SCAN_4.txt; BONE SCAN_5.txt
NM,NM CARDIAC SPECT.txt,CARDIAC SPECT.txt,2,CARDIAC SPECT_2.txt; CARDIAC SPECT_3.txt
NM,NM Gastric Empty.txt,Gastric Empty.txt,0,
NM,NM PARATHYROID.txt,PARATHYROID.txt,0,
Other,BLANK.txt,BLANK.txt,0,
Other,blank_2.txt,blank_2.txt,1,blank_4.txt
Other,blank_3.txt,blank_3.txt,0,
Other,CONSULT.txt,CONSULT.txt,2,CONSULT_2.txt; CONSULT_3.txt
Other,Consulting.txt,Consulting.txt,0,
Other,FOOT_8.txt,FOOT_8.txt,0,
Other,HEAD5.txt,HEAD5.txt,0,
Other,test-15.txt,test-15.txt,2,modified-template.txt; scratch-template.txt
Other,test-template.txt,test-template.txt,5,test-template_2.txt; test-template_3.txt; test-template_4.txt; test-template_5.txt; test-template_6.txt
Other,test.txt,test.txt,0,
US,US Abdomen (m).txt,Abdomen (m).txt,0,
US,US Abdomen (m)_2.txt,Abdomen (m)_2.txt,0,
US,US Abdomen (S) ELASTOGRAPHY.txt,Abdomen (S) ELASTOGRAPHY.txt,0,
US,US Abdomen Complete.txt,Abdomen Complete.txt,0,
US,US Abdomen Conplete.txt,Abdomen Conplete.txt,2,Abdomen Complete_2.txt; Abdomen Complete_3.txt
US,US ABDOMEN RUQ (S).txt,ABDOMEN RUQ (S).txt,0,
US,US ABDOMEN RUQ.txt,ABDOMEN RUQ.txt,2,ABDOMEN RUQ_6.txt; ABDOMEN RUQ_7.txt
US,US Abdomen RUQ_2.txt,Abdomen RUQ_2.txt,1,Abdomen RUQ_5.txt
US,US Abdomen RUQ_3.txt,Abdomen RUQ_3.txt,0,
US,US ABDOMEN RUQ_4.txt,ABDOMEN RUQ_4.txt,0,
US,US ABDOMEN RUQ_8.txt,ABDOMEN RUQ_8.txt,0,
US,US abdomen w_doppler.txt,abdomen w_doppler.txt,0,
US,US Abdomen.txt,Abdomen.txt,3,Abdomen_14.txt; Abdomen_3.txt; Abdomen_7.txt
US,US Abdomen_8.txt,Abdomen_8.txt,0,
US,US ABI (s) below knee.txt,ABI (s) below knee.txt,0,
US,US ABI(S).txt,ABI(S).txt,0,
US,US ABI(S)_2.txt,ABI(S)_2.txt,1,ABI(S)_3.txt
US,US ABI.txt,ABI.txt,0,
US,US AORTA (S).txt,AORTA (S).txt,1,AORTA (S)_2.txt
US,US AORTA.txt,AORTA.txt,0,
US,US AORTA_2.txt,AORTA_2.txt,3,AORTA_4.txt; AORTA_5.txt; AORTA_6.txt
US,US AORTA_3.txt,AORTA_3.txt,2,AORTA_8.txt; AORTA_9.txt
US,US AORTA_7.txt,AORTA_7.txt,0,
US,US Appendix_RLQ.txt,Appendix_RLQ.txt,0,
US,US ARTERIAL UE.txt,ARTERIAL UE.txt,1,ARTERIAL UE (S).txt
US,US ARTERIAL.txt,ARTERIAL.txt,0,
US,US ARTERIAL_2.txt,ARTERIAL_2.txt,1,ARTERIAL_4.txt
US,US ARTERIAL_3.txt,ARTERIAL_3.txt,0,
US,US BioPhysical(S).txt,BioPhysical(S).txt,0,
US,US BIOPHYSICAL.txt,BIOPHYSICAL.txt,0,
US,US BLADDER.txt,BLADDER.txt,3,BLADDER_2.txt; BLADDER_3.txt; BLADDER_4.txt
US,US Carotids (S).txt,Carotids (S).txt,0,
US,US CAROTIDS.txt,CAROTIDS.txt,0,
US,US CAROTIDS_2.txt,CAROTIDS_2.txt,0,
US,US Carotids_3.txt,Carotids_3.txt,0,
